category,pro_name,pro_price,pro_review,pro_url
trang-diem-mat,Chì vặn kẻ chân mày ngang chống nước Keep color,13200.00,52,https://www.lazada.vn/products/chi-van-ke-chan-may-ngang-chong-nuoc-keep-color-i248758035-s326307416.html?search=1
trang-diem-mat,(GIÁ RẺ) Bảng Màu Mắt Phấn Mắt 10 Màu EyeShadow Matte Ánh Nhũ  Lameila Color play L0109,23000.00,53,https://www.lazada.vn/products/gia-re-bang-mau-mat-phan-mat-10-mau-eyeshadow-matte-anh-nhu-lameila-color-play-l0109-i266434295-s386468646.html?search=1
trang-diem-mat,Bảng phấn mắt Play Color Eyes Lameila PC23,21600,185,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-lameila-pc23-i246760360-s317892827.html?search=1
trang-diem-mat,Bút kẻ mắt nước Lameila không thấm nước - hàng nội địa Trung,15000.00,156,https://www.lazada.vn/products/but-ke-mat-nuoc-lameila-khong-tham-nuoc-hang-noi-dia-trung-i253890942-s342406883.html?search=1
trang-diem-mat,Bảng phấn mắt Play Color Eyes của Lameila hàng nội địa Trung - 1126,21850,436,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-cua-lameila-hang-noi-dia-trung-1126-i223370219-s281411513.html?search=1
trang-diem-mat,"Bút dạ kẻ mắt không lem, không trôi Lameila",19000.00,155,https://www.lazada.vn/products/but-da-ke-mat-khong-lem-khong-troi-lameila-i257195271-s354612588.html?search=1
trang-diem-mat,THANH LĂN MẮT NHA ĐAM TRỊ THÂM QUẦNG MẮT,20000.00,33,https://www.lazada.vn/products/thanh-lan-mat-nha-dam-tri-tham-quang-mat-i273080175-s415696045.html?search=1
trang-diem-mat,Bảng Phấn Mắt Play Color Geo 10 Bản New,24000.00,329,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255345960-s348246339.html?search=1
trang-diem-mat,Mascara dầu dừa dưỡng dài mi Coco Secret,25000.00,165,https://www.lazada.vn/products/mascara-dau-dua-duong-dai-mi-coco-secret-i165458701-s181151581.html?search=1
trang-diem-mat,Bảng phấn mắt Play Color Eyes của Lameila hàng nội địa Trung - 1126,21850,436,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-cua-lameila-hang-noi-dia-trung-1126-i223370219-s281411513.html?search=1
trang-diem-mat,Chì Kẻ Mày,140000.00,1,https://www.lazada.vn/products/chi-ke-may-i256056921-s349788754.html?search=1
trang-diem-mat,Bút kẻ mắt nước Lameila không thấm nước - hàng nội địa Trung,15000.00,156,https://www.lazada.vn/products/but-ke-mat-nuoc-lameila-khong-tham-nuoc-hang-noi-dia-trung-i253890942-s342406883.html?search=1
trang-diem-mat,"Bút dạ kẻ mắt không lem, không trôi Lameila",19000.00,155,https://www.lazada.vn/products/but-da-ke-mat-khong-lem-khong-troi-lameila-i257195271-s354612588.html?search=1
trang-diem-mat,Bảng Phấn mắt Lameila 35 màu nội địa Trung,65000.00,3,https://www.lazada.vn/products/bang-phan-mat-lameila-35-mau-noi-dia-trung-i271570634-s408020315.html?search=1
trang-diem-mat,8 Khuôn kẻ chân mày + Dây buộc mẫu mới (tặng chì kẻ mày),48000.00,5,https://www.lazada.vn/products/8-khuon-ke-chan-may-day-buoc-mau-moi-tang-chi-ke-may-i257140913-s355347918.html?search=1
trang-diem-mat,Bảng phấn mắt Play Color Eyes Lameila PC23,21600,185,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-lameila-pc23-i246760360-s317892827.html?search=1
trang-diem-mat,Bảng Phấn Mắt NUDE HUDAMOJI,97000.00,1,https://www.lazada.vn/products/bang-phan-mat-nude-hudamoji-i266364039-s386144390.html?search=1
trang-diem-mat,Bộ Khuôn Kẻ Con Dấu In Lông Mày SHEZI,35000,62,https://www.lazada.vn/products/bo-khuon-ke-con-dau-in-long-may-shezi-i170574657-s186530793.html?search=1
trang-diem-mat,Mascara làm dài và tơi mi Maybelline New York Lash Sensational 10ml (Đen),162000.00,594,https://www.lazada.vn/products/mascara-lam-dai-va-toi-mi-maybelline-new-york-lash-sensational-10ml-den-i258119198-s357605787.html?search=1
trang-diem-mat,Bút kẻ mắt nước Lameila không thấm nước - hàng nội địa Trung,15000.00,156,https://www.lazada.vn/products/but-ke-mat-nuoc-lameila-khong-tham-nuoc-hang-noi-dia-trung-i253890942-s342406883.html?search=1
