category,page,page_url,pro_name,pro_price,pro_review,pro_url
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Bảng phấn mắt Play Color Eyes Lameila PC23,21600,185,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-lameila-pc23-i246760360-s317892827.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Bảng Phấn Mắt Play Color Geo 10 Bản New,24000.00,261,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255386985-s348233991.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Phấn mắt 35 Ô LAMEILA,83000.00,0,https://www.lazada.vn/products/phan-mat-35-o-lameila-i276344067-s425842772.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Chuốt mi làm dài và dày mi Lash của Novo,35000,12,https://www.lazada.vn/products/chuot-mi-lam-dai-va-day-mi-lash-cua-novo-i250653509-s331426546.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Điêu khắc chân mày Bút Kẻ Lông Mày Bút Chì Kẻ Mày eyebrow pencil  2 in 1 Chống Nước Không Trôi L0108,13280.00,21,https://www.lazada.vn/products/dieu-khac-chan-may-but-ke-long-may-but-chi-ke-may-eyebrow-pencil-2-in-1-chong-nuoc-khong-troi-l0108-i266426408-s386462351.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Phấn Mắt 18 Ô Sivanna HD Ultimate Shadow Palette L1660,128000.00,8,https://www.lazada.vn/products/phan-mat-18-o-sivanna-hd-ultimate-shadow-palette-l1660-i267494456-s390666133.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,CHÌ KẺ MÀY WODWOD,45000.00,0,https://www.lazada.vn/products/chi-ke-may-wodwod-i250610757-s331266616.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Bảng Phấn mắt Lameila 35 màu nội địa Trung,65000.00,3,https://www.lazada.vn/products/bang-phan-mat-lameila-35-mau-noi-dia-trung-i271570634-s408020315.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Mascara làm dài và tơi mi Maybelline New York Lash Sensational 10ml (Đen),156000,594,https://www.lazada.vn/products/mascara-lam-dai-va-toi-mi-maybelline-new-york-lash-sensational-10ml-den-i258119198-s357605787.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Bảng Phấn Mắt 12 Màu Color Geo Lameila Eye Shadow L0102,38000.00,17,https://www.lazada.vn/products/bang-phan-mat-12-mau-color-geo-lameila-eye-shadow-l0102-i266250748-s388914647.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Chì vặn kẻ chân mày ngang chống nước Keep color,13200.00,52,https://www.lazada.vn/products/chi-van-ke-chan-may-ngang-chong-nuoc-keep-color-i248758035-s326307416.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,"Kim tuyến makeup, làm nail",39000.00,3,https://www.lazada.vn/products/kim-tuyen-makeup-lam-nail-i266512456-s386698209.html?search=1
trang-diem-mat,3,https://www.lazada.vn/trang-diem-mat/?page=3,THANH LĂN MẮT NHA ĐAM TRỊ THÂM QUẦNG MẮT,20000.00,33,https://www.lazada.vn/products/thanh-lan-mat-nha-dam-tri-tham-quang-mat-i273080175-s415696045.html?search=1
trang-diem-mat,3,https://www.lazada.vn/trang-diem-mat/?page=3,Mascara dầu dừa dưỡng dài mi Coco Secret,25000.00,165,https://www.lazada.vn/products/mascara-dau-dua-duong-dai-mi-coco-secret-i165458701-s181151581.html?search=1
trang-diem-mat,3,https://www.lazada.vn/trang-diem-mat/?page=3,Bảng Phấn Mắt Play Color Geo 10 Bản New,24000.00,329,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255345960-s348246339.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Phấn mắt 2 line Northshow 5 ô kèm cọ,85000.00,0,https://www.lazada.vn/products/phan-mat-2-line-northshow-5-o-kem-co-i258571216-s358741735.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,"[TẶNG KÈM ĐÈN LED DẺO] Hộp chì kẻ chân mày novo (Gồm bút chì, 3 khuôn kẻ, 3 ruột bút chì) NOVO",55000.00,0,https://www.lazada.vn/products/tang-kem-den-led-deo-hop-chi-ke-chan-may-novo-gom-but-chi-3-khuon-ke-3-ruot-but-chi-novo-i279704209-s436620797.html?search=1
