category,main class,item name,price range,price_min,price_max,monthly sales,item url,item picture
美妝保健,開架流行清潔保養,?買15送1? 台灣現貨～韓國SPA 蒸氣浴舒緩眼罩 6款香味 溫熱眼罩熱敷眼膜 蒸氣眼罩 舒緩疲勞 蒸汽眼膜非花王眼罩,$8 - $9,8,9,3288,https://shopee.tw/?買15送1?-台灣現貨～韓國SPA-蒸氣浴舒緩眼罩-6款香味-溫熱眼罩熱敷眼膜-蒸氣眼罩-舒緩疲勞-蒸汽眼膜非花王眼罩-i.383316.1306862919,https://cf.shopee.tw/file/5d9c5151a92dc538292248ef55beb39a
美妝保健,開架流行清潔保養,[現貨 ] 最新第七代 2019 韓國 AHC 眼霜 全效多功能 AHC眼霜 超神眼霜 第六代,$4 - $225,4,225,1214,https://shopee.tw/-現貨-最新第七代-2019-韓國-AHC-眼霜-全效多功能-AHC眼霜-超神眼霜-第六代-i.1988776.1225334961,https://cf.shopee.tw/file/e4cb7a3517b05e79919a9150a41e52cf
美妝保健,開架流行清潔保養,德易購 ?? 德國代購 快捷直送 每週到貨「Balea 芭樂雅」dm 德國同步2021.01後 臉部保養精華膠囊7入,$50 - $58,50,58,2768,https://shopee.tw/德易購-??-德國代購-快捷直送-每週到貨「Balea-芭樂雅」dm-德國同步2021.01後-臉部保養精華膠囊7入-i.10060557.93620929,https://cf.shopee.tw/file/2e374c80f6b9a62f85f24f2b89a5d94a
美妝保健,開架流行清潔保養,玩美日記 水絲布面膜(1片入/25ml)【小三美日】D065281,$9 ,9,9,1925,https://shopee.tw/玩美日記-水絲布面膜(1片入-25ml)【小三美日】D065281-i.11527054.86766833,https://cf.shopee.tw/file/0666f08dd4774581f961b0f4c18c393b
美妝保健,開架流行清潔保養,W.lab 名模聚光妝前精華55ml wlab 底妝救星 wlab,$185 - $355,185,355,1147,https://shopee.tw/W.lab-名模聚光妝前精華55ml-wlab-底妝救星-wlab-i.9399958.1056886557,https://cf.shopee.tw/file/b2d5c2bb0a189680b7bc14f8deae5610
美妝保健,開架流行清潔保養,01-20韓國DERMAL面膜 保濕/美白/緊緻/清潔/調理(單片)【小三美日】D280876,$9 ,9,9,1769,https://shopee.tw/01-20韓國DERMAL面膜-保濕-美白-緊緻-清潔-調理(單片)【小三美日】D280876-i.11527054.86985265,https://cf.shopee.tw/file/1ddc3b4caa2dcb3302acc529f814a0e1
美妝保健,開架流行清潔保養,韓國EUNYUL 面膜(單片22ml) 蘆薈/蝸牛/Q10/綠茶/膠原蛋白/馬油 多款【小三美日】D402081,$9 ,9,9,1659,https://shopee.tw/韓國EUNYUL-面膜(單片22ml)-蘆薈-蝸牛-Q10-綠茶-膠原蛋白-馬油-多款【小三美日】D402081-i.11527054.286147522,https://cf.shopee.tw/file/61bf7759e0c52fcd9e571f8841ef84e8
美妝保健,開架流行清潔保養,韓國 HomeMediCare 連根拔起隱形痘痘貼(包),$69 ,69,69,1195,https://shopee.tw/韓國-HomeMediCare-連根拔起隱形痘痘貼(包)-i.27248653.1016050875,https://cf.shopee.tw/file/dd0feaf03f592fdaa68ff888a1727377
美妝保健,開架流行清潔保養,【樂購購】Sesedior 凍齡女神保濕美白面膜 現貨附發票 當天寄出,$8 ,8,8,2918,https://shopee.tw/【樂購購】Sesedior-凍齡女神保濕美白面膜-現貨附發票-當天寄出-i.4681626.1783964932,https://cf.shopee.tw/file/8cc60a693b288d09be585e542c95d666
美妝保健,開架流行清潔保養,【日本 BCL SABORINO】 早安面膜 (32枚入) 黃色草本花果 綠色葡萄柚香 單帳號限購6個《11STORE》,$289 ,289,289,1114,https://shopee.tw/【日本-BCL-SABORINO】-早安面膜-(32枚入)-黃色草本花果-綠色葡萄柚香-單帳號限購6個《11STORE》-i.60466183.1608595208,https://cf.shopee.tw/file/710cfe56487b246417693ff93caaed10
美妝保健,開架流行清潔保養,日本BCL Saborino 早安面膜 32枚入,$279 ,279,279,1102,https://shopee.tw/日本BCL-Saborino-早安面膜-32枚入-i.116304162.1856997363,https://cf.shopee.tw/file/88d22771634674dd6488aee0f23118b7
美妝保健,開架流行清潔保養,?現貨 提提研（日期新 新款 備長炭）TT 浸潤補水黑面膜 激光注白黑面膜 調理禦痘黑面膜 瞬白酷涼 保濕金箔,$30 - $35,30,35,1438,https://shopee.tw/?現貨-提提研（日期新-新款-備長炭）TT-浸潤補水黑面膜-激光注白黑面膜-調理禦痘黑面膜-瞬白酷涼-保濕金箔-i.473572.3293961,https://cf.shopee.tw/file/3640d8cd0638ae894f6d8cb9c809393d
美妝保健,開架流行清潔保養,?限量優惠?【Rough99】??韓國連線代購?整型醫院 原辰 WONJIN EFFECT 透明質酸 面膜,$27 - $299,27,299,1441,https://shopee.tw/?限量優惠?【Rough99】??韓國連線代購?整型醫院-原辰-WONJIN-EFFECT-透明質酸-面膜-i.5561958.1304040561,https://cf.shopee.tw/file/987536143b7aafff0103f1ea42f023ae
美妝保健,開架流行清潔保養,【梨大小姐】新款到 MEDIHEAL 美迪惠爾 高效保濕面膜 可萊斯 乳清蛋白 茶樹 抗皺 舒緩 亮白 面膜 N.M.F,$38 ,38,38,1133,https://shopee.tw/【梨大小姐】新款到-MEDIHEAL-美迪惠爾-高效保濕面膜-可萊斯-乳清蛋白-茶樹-抗皺-舒緩-亮白-面膜-N.M.F-i.32084592.1360562088,https://cf.shopee.tw/file/b52a03d0c2a4dd087ca97a322190de9a
美妝保健,開架流行清潔保養,[買1送1]未來美8分鐘極速補水面膜5入【康是美】《下單1出貨2》,$399 ,399,399,1004,https://shopee.tw/-買1送1-未來美8分鐘極速補水面膜5入【康是美】《下單1出貨2》-i.33206500.619531695,https://cf.shopee.tw/file/c5dcf7c44ce291a2b3f47df2ffa4e311
