时间戳记,Your Bitcointalk Username,Your Forum Profile Link,Your Telegram name,Your Ethereum Address,
2018/04/18 8:01:47 下午 GMT+8,bk85,https://bitcointalk.org/index.php?actionprofile;u963140,Ap_amir_appp,0xDbd334088ECa134BD2CA029Ae57cC3D8FAe448e9,in
2018/04/18 8:01:52 下午 GMT+8,Sukrim,https://bitcointalk.org/index.php?actionprofile;u11018,xaoxao1991,0x034b7CD5913eD0b340C379e61a282D2AC81f57c3,in
2018/04/18 8:02:01 下午 GMT+8,BurtW,https://bitcointalk.org/index.php?actionprofile;u14808,minbminb,0x8B697ea3c63e8366B8251784B9AB73129C389a3B,in
2018/04/18 8:02:08 下午 GMT+8,Aleator,https://bitcointalk.org/index.php?actionprofile;u1087763,mojiae2e,0xc0c420a9614734b8bcb44f494938cc2d79906b68,in
2018/04/18 8:02:14 下午 GMT+8,Ukigo,https://bitcointalk.org/index.php?actionprofile;u14881,TaylorWalton,0x6409067E588cE41dc6910527906E1e72B12ea901,not in
2018/04/18 8:02:22 下午 GMT+8,Lpim01,https://bitcointalk.org/index.php?actionprofile;u496075,devgdui,0x5404d67c12b2b1d7d03a674dd5321177c1877ddb,in
2018/04/18 8:02:29 下午 GMT+8,Frosxh,https://bitcointalk.org/index.php?actionprofile;u855780,mansupertiger,0xB4aca38dD596a7bBbA4d1678a47a519ABce09199,in
2018/04/18 8:02:37 下午 GMT+8,idev,https://bitcointalk.org/index.php?actionprofile;u1626,HarrietRowley,0xB3817D2f7810B2F6f01ae54B996429036D156A4E,in
2018/04/18 8:02:38 下午 GMT+8,BTCurious,https://bitcointalk.org/index.php?actionprofile;u30341,sadnightday,0xdF0b632a41c8aA0b7fDDA207C5ebe2a83A8DFdfD,in
2018/04/18 8:02:39 下午 GMT+8,erikalui,https://bitcointalk.org/index.php?actionprofile;u141005,strongermans,0xe5245057715c8b99A9782bad68B4904F31A48592,in
2018/04/18 8:02:48 下午 GMT+8,royromales,https://bitcointalk.org/index.php?actionprofile;u1254322,fightingvn,0xfe92aa109179ff62bd19dd98cfd138fcda4c8019,not in
2018/04/18 8:02:52 下午 GMT+8,sumangs,https://bitcointalk.org/index.php?actionprofile;u1035888,remrem2313,0x4fe986aac0877b5e2022e18dc10520561fc43368,in
2018/04/18 8:02:54 下午 GMT+8,lihuajkl,https://bitcointalk.org/index.php?actionprofile;u178911,CICIbaby12,0x9C83c1C5c86aE155dF3a1a7Ab9B99eDA236c8F1D,in
2018/04/18 8:03:00 下午 GMT+8,runeks,https://bitcointalk.org/index.php?actionprofile;u41113,saveday201,0x41415880950784e18B8b61A2c0EA303C502B8051,in
2018/04/18 8:03:00 下午 GMT+8,veleten,https://bitcointalk.org/index.php?actionprofile;u100591,yukihimashita,0x90459F47Ce5CE0E9379f7635e6049EE425fd972D,in
2018/04/18 8:03:05 下午 GMT+8,ByteCoin,https://bitcointalk.org/index.php?actionprofile;u490,cancelhim,0x5D46481EC516D5075b12B7dCF331465E6E4901Ae,in
2018/04/18 8:03:12 下午 GMT+8,CoinCave,https://bitcointalk.org/index.php?actionprofile;u51242,CaitlintLawson,0x70eF411f4C3C7fAF20F7a1f734a8623e86566f69,not in
2018/04/18 8:03:19 下午 GMT+8,chris200x9,https://bitcointalk.org/index.php?actionprofile;u3079,SamuelSmart,0xf30238EeAA5Fae0D74a76fC14e2cbAc55391D70c,in
2018/04/18 8:03:22 下午 GMT+8,SilverChromia,https://bitcointalk.org/index.php?actionprofile;u1171209,freecloutv,0xe337dda3fab6b71f6ef1ef1a9944f594b9da97a6,in
2018/04/18 8:03:34 下午 GMT+8,ptshamrock,https://bitcointalk.org/index.php?actionprofile;u13239,dangghet203,0xA18d9Dbf1322787B45d2c75c11b107b535Ee3D36,in
2018/04/18 8:03:42 下午 GMT+8,manselr,https://bitcointalk.org/index.php?actionprofile;u381190,kiraumachiha,0xA9FD8a9A99B359E557f61e2E86De7A49F455c1E0,in
2018/04/18 8:03:48 下午 GMT+8,malevolent,https://bitcointalk.org/index.php?actionprofile;u23092,JordanNixon,0x7AC9f3D51DD96247C518a9b335E8e8Fd5516fEd0,in
2018/04/18 8:03:50 下午 GMT+8,kumar jabodah,https://bitcointalk.org/index.php?actionprofile;u1144255,Cloutvn,0x4457aff7a507a2f725189873b78349b4887c20b1,not in
2018/04/18 8:03:55 下午 GMT+8,GalacticEmpire,https://bitcointalk.org/index.php?actionprofile;u958278,shaghapersonal,0x39Bf5e7A08b94de82F21904D96a20B2958c6f698,in
2018/04/18 8:04:00 下午 GMT+8,Jenny Moll,https://bitcointalk.org/index.php?actionprofile;u196836,hurifybotmen,0x080ffa7691A275F1c7f0f7dAA0B56B6e16d89801,not in
