category,category url,main class,class url
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,明星偶像商品,https://shopee.tw/明星偶像商品-cat.75.1591
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,LEGO與積木,https://shopee.tw/LEGO與積木-cat.75.13982
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,玩偶、娃娃,https://shopee.tw/玩偶、娃娃-cat.75.2204
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,收藏、紀念品,https://shopee.tw/收藏、紀念品-cat.75.1587
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,CD&DVD,https://shopee.tw/CD-DVD-cat.75.2187
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,卡、票,https://shopee.tw/卡、票-cat.75.2688
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,玉、水晶、石,https://shopee.tw/玉、水晶、石-cat.75.2687
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,樂器,https://shopee.tw/樂器-cat.75.2186
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,其他,https://shopee.tw/其他-cat.75.295
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,玩具,https://shopee.tw/玩具-cat.75.2185
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,文化創意周邊,https://shopee.tw/文化創意周邊-cat.75.19055
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,Apple空機,https://shopee.tw/Apple空機-cat.70.2683
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,Android空機,https://shopee.tw/Android空機-cat.70.2609
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,平板電腦,https://shopee.tw/平板電腦-cat.70.1573
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,耳機喇叭,https://shopee.tw/耳機喇叭-cat.70.2684
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,行動電源,https://shopee.tw/行動電源-cat.70.1575
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,iPhone保護貼,https://shopee.tw/iPhone保護貼-cat.70.2612
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,iPhone保護殼,https://shopee.tw/iPhone保護殼-cat.70.2611
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,iPhone充電傳輸,https://shopee.tw/iPhone充電傳輸-cat.70.1577
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,Android保護貼,https://shopee.tw/Android保護貼-cat.70.2685
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,Android保護殼,https://shopee.tw/Android保護殼-cat.70.2613
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,Android充電傳輸,https://shopee.tw/Android充電傳輸-cat.70.7981
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,手機周邊配件,https://shopee.tw/手機周邊配件-cat.70.1579
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,電話、儲值卡,https://shopee.tw/電話、儲值卡-cat.70.2615
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,其他,https://shopee.tw/其他-cat.70.297
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,其他廠牌手機,https://shopee.tw/其他廠牌手機-cat.70.2610
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,手遊周邊配件,https://shopee.tw/手遊周邊配件-cat.70.16766
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,穿戴裝置,https://shopee.tw/穿戴裝置-cat.70.16765
手機平板與周邊,https://shopee.tw/手機平板與周邊-cat.70,拍照周邊,https://shopee.tw/拍照周邊-cat.70.16764
女生配件,https://shopee.tw/女生配件-cat.2580,襪子,https://shopee.tw/襪子-cat.2580.2590
女生配件,https://shopee.tw/女生配件-cat.2580,帽子,https://shopee.tw/帽子-cat.2580.2582
女生配件,https://shopee.tw/女生配件-cat.2580,髮飾,https://shopee.tw/髮飾-cat.2580.2586
女生配件,https://shopee.tw/女生配件-cat.2580,項鍊,https://shopee.tw/項鍊-cat.2580.2581
女生配件,https://shopee.tw/女生配件-cat.2580,手環,https://shopee.tw/手環-cat.2580.2583
女生配件,https://shopee.tw/女生配件-cat.2580,圍巾、手套,https://shopee.tw/圍巾、手套-cat.2580.2587
女生配件,https://shopee.tw/女生配件-cat.2580,耳環,https://shopee.tw/耳環-cat.2580.2584
女生配件,https://shopee.tw/女生配件-cat.2580,眼鏡,https://shopee.tw/眼鏡-cat.2580.2588
女生配件,https://shopee.tw/女生配件-cat.2580,手錶,https://shopee.tw/手錶-cat.2580.2589
女生配件,https://shopee.tw/女生配件-cat.2580,戒指,https://shopee.tw/戒指-cat.2580.2585
女生配件,https://shopee.tw/女生配件-cat.2580,吊飾,https://shopee.tw/吊飾-cat.2580.2591
女生配件,https://shopee.tw/女生配件-cat.2580,國際精品配件,https://shopee.tw/國際精品配件-cat.2580.18851
女生配件,https://shopee.tw/女生配件-cat.2580,皮帶/腰帶,https://shopee.tw/皮帶-腰帶-cat.2580.18849
女生配件,https://shopee.tw/女生配件-cat.2580,黃金,https://shopee.tw/黃金-cat.2580.18863
女生配件,https://shopee.tw/女生配件-cat.2580,鑽石,https://shopee.tw/鑽石-cat.2580.18861
