Item name,Price,Review num,Item url
Alta Designer Fashion Mens Slim Fit Skinny Denim Jeans - Multiple Colors & Sizes,$19.95 - $20.95,63,https://www.amazon.com/Designer-Fashion-Skinny-Denim-Jeans/dp/B06XPSLBY7/ref=sr_1_488?s=apparel&ie=UTF8&qid=1548232187&sr=1-488&nodeID=1045564&psd=1
LEE Men's Modern Series Regular Fit Tapered Leg Jean,$21.19 - $48.00,18,https://www.amazon.com/LEE-Mens-Modern-Regular-Tapered/dp/B07BMP7GK3/ref=sr_1_489?s=apparel&ie=UTF8&qid=1548232187&sr=1-489&nodeID=1045564&psd=1
True Religion Men's Straight,$67.35 - $99.98,3,https://www.amazon.com/True-Religion-Straight-Jeans-Pockets/dp/B07D411CBL/ref=sr_1_490?s=apparel&ie=UTF8&qid=1548232187&sr=1-490&nodeID=1045564&psd=1
Joe's Jeans Men's Classic Fit Straight Leg,$71.17 - $178.00,11,https://www.amazon.com/Joes-Jeans-Classic-Straight-Drexler-x/dp/B06XD7Y4Q4/ref=sr_1_491?s=apparel&ie=UTF8&qid=1548232187&sr=1-491&nodeID=1045564&psd=1
Wrangler Men's Genuine Carpenter-Fit Jean,$19.99 - $103.49,205,https://www.amazon.com/Genuine-Wrangler-Carpenter-Stone-Bleach/dp/B000EYDH6G/ref=sr_1_492?s=apparel&ie=UTF8&qid=1548232187&sr=1-492&nodeID=1045564&psd=1
Perry Ellis Men's Tall Size Slim Fit Slubbed Stretch Denim Pant,$110.00 ,0,https://www.amazon.com/Perry-Ellis-Slubbed-Stretch-Denim/dp/B07H3KCXSV/ref=sr_1_493?s=apparel&ie=UTF8&qid=1548232187&sr=1-493&nodeID=1045564&psd=1
William Rast Men's Hixson Straight Leg Jean,$38.37 - $119.50,26,https://www.amazon.com/William-Rast-Hixson-Straight-Contrast/dp/B07DPM2Q1G/ref=sr_1_494?s=apparel&ie=UTF8&qid=1548232187&sr=1-494&nodeID=1045564&psd=1
Tommy Hilfiger - Men's Original Simon Skinny Jeans Chalk Dark Blue Stretch 28X32,$45.49 - $99.50,37,https://www.amazon.com/Tommy-Extreme-Skinny-Original-Comfort/dp/B07B2ZXL69/ref=sr_1_495?s=apparel&ie=UTF8&qid=1548232187&sr=1-495&nodeID=1045564&psd=1
Goodthreads Men's Athletic-Fit Selvedge Jean,$50.00 ,46,https://www.amazon.com/Goodthreads-Mens-Athletic-Fit-Selvedge-Jean/dp/B078C6Z361/ref=sr_1_496?s=apparel&ie=UTF8&qid=1548232187&sr=1-496&nodeID=1045564&psd=1
LAMCORD Men's Slim Fit Zipper Ripped Holes Destroyed Skinny Jeans,$21.30 - $23.20,32,https://www.amazon.com/LAMCORD-Upreface-Distressed-Destroyed-Straight/dp/B06XKTMNJH/ref=sr_1_497?s=apparel&ie=UTF8&qid=1548232187&sr=1-497&nodeID=1045564&psd=1
LOBIDA Destroyed Mens Slim Denim Straight Biker Skinny Jeans Casual Long Men Ripped Jeans,$23.99 - $25.99,14,https://www.amazon.com/LOBIDA-Destroyed-Straight-Skinny-Casual/dp/B07BVJJTS3/ref=sr_1_498?s=apparel&ie=UTF8&qid=1548232187&sr=1-498&nodeID=1045564&psd=1
URBANJ Men's Slim Fit Drop Crotch Denim Jogger Pants S-5XL,$24.98 - $29.99,9,https://www.amazon.com/URBANJ-Crotch-Denim-Jogger-Vintage/dp/B07428DZM7/ref=sr_1_499?s=apparel&ie=UTF8&qid=1548232187&sr=1-499&nodeID=1045564&psd=1
WT02 Men's Clean Washed Fashion Stretch Ripped Denim Patns,$14.30 - $34.99,47,https://www.amazon.com/WT02-Washed-Fashion-Stretch-Ripped/dp/B077PG2V62/ref=sr_1_500?s=apparel&ie=UTF8&qid=1548232187&sr=1-500&nodeID=1045564&psd=1
LEE Men's Big-Tall Fleece Lined Relaxed Fit Straight Leg Jean,$39.90 - $70.00,7,https://www.amazon.com/LEE-Big-Tall-Fleece-Relaxed-Straight/dp/B07DV24V8R/ref=sr_1_501?s=apparel&ie=UTF8&qid=1548232187&sr=1-501&nodeID=1045564&psd=1
Wrangler Men's Slim-Fit Flame Resistant Jean,$35.00 - $109.39,35,https://www.amazon.com/Wrangler-Flame-Resistant-Prewash-36x30/dp/B00ARTH3YA/ref=sr_1_502?s=apparel&ie=UTF8&qid=1548232187&sr=1-502&nodeID=1045564&psd=1
Wrangler Authentics Men's Big & Tall Classic Comfort-Waist Jean,$27.99 ,9,https://www.amazon.com/Wrangler-Authentics-Classic-Comfort-Waist-Indigo/dp/B07D6Q5F7N/ref=sr_1_503?s=apparel&ie=UTF8&qid=1548232187&sr=1-503&nodeID=1045564&psd=1
westAce Mens Stretch Skinny Fit Jeans Super Spandex Denim Pants,$19.95 ,29,https://www.amazon.com/westAce-Stretch-Skinny-Jeans-Spandex/dp/B07BDNJVLH/ref=sr_1_504?s=apparel&ie=UTF8&qid=1548232187&sr=1-504&nodeID=1045564&psd=1
Victorious Distressed Biker Denim Jogger Pants,$25.00 - $37.95,102,https://www.amazon.com/Victorious-Distressed-Biker-Denim-Jogger/dp/B0125QM5P4/ref=sr_1_505?s=apparel&ie=UTF8&qid=1548232187&sr=1-505&nodeID=1045564&psd=1
COLINNA Men's Fleece Lined Jeans Winter Thicken Stretch Jeans Skinny Denim Pants Casual Trousers,$19.98 - $29.99,11,https://www.amazon.com/COLINNA-Fleece-Thicken-Stretch-Trousers/dp/B07JVH51SB/ref=sr_1_506?s=apparel&ie=UTF8&qid=1548232187&sr=1-506&nodeID=1045564&psd=1
Carhartt Men's Rugged Flex Relaxed Double Front Jean,$49.99 ,7,https://www.amazon.com/Carhartt-Rugged-Relaxed-Double-Front/dp/B07BP1P33B/ref=sr_1_507?s=apparel&ie=UTF8&qid=1548232187&sr=1-507&nodeID=1045564&psd=1
Levi's Men's 511 Cut-Off Short,$10.96 - $50.00,36,https://www.amazon.com/Levis-Cut-Off-Short-Steel-Denim-Stretch/dp/B077G5SJ37/ref=sr_1_508?s=apparel&ie=UTF8&qid=1548232187&sr=1-508&nodeID=1045564&psd=1
DEITP Men's Distressed Destroyed Ripped Slim Fit Skinny Stretch Denim Jeans,$22.99 - $32.99,19,https://www.amazon.com/DEITP-Vintage-Distressed-Destroyed-Stretch-x/dp/B07B9RNDGK/ref=sr_1_509?s=apparel&ie=UTF8&qid=1548232187&sr=1-509&nodeID=1045564&psd=1
Wrangler Men¡¯s Silver Edition Slim Fit Jean,$17.89 - $60.00,94,https://www.amazon.com/Wrangler-Mens-Silver-Black-29x34/dp/B005DIN1UU/ref=sr_1_510?s=apparel&ie=UTF8&qid=1548232187&sr=1-510&nodeID=1045564&psd=1
Wrangler Men¡¯s Silver Edition Slim Fit JeanDark Denim42x30,$39.11 ,1,https://www.amazon.com/Wrangler-Mens-Silver-Denim-42x30/dp/B005DIH25K/ref=sr_1_511?s=apparel&ie=UTF8&qid=1548232187&sr=1-511&nodeID=1045564&psd=1
J.Crew Mercantile Men's 484 Stretch Slim Fit Jean,$98.00 - $125.00,0,https://www.amazon.com/J-Crew-Mens-Stretch-Slim-Midnight/dp/B07JWDLJMN/ref=sr_1_512?s=apparel&ie=UTF8&qid=1548232187&sr=1-512&nodeID=1045564&psd=1
Wrangler Men's 20x Vintage Boot Cut Jean,$36.38 - $59.00,3,https://www.amazon.com/Wrangler-Mens-Vintage-Glasgow-33X36/dp/B07C22PNW3/ref=sr_1_513?s=apparel&ie=UTF8&qid=1548232187&sr=1-513&nodeID=1045564&psd=1
Wrangler Men¡¯s Silver Edition Slim Fit Jean,$17.89 - $60.00,94,https://www.amazon.com/Wrangler-Mens-Silver-Denim-36x34/dp/B005DIHWJQ/ref=sr_1_514?s=apparel&ie=UTF8&qid=1548232187&sr=1-514&nodeID=1045564&psd=1
