category,price,pro_name,pro_url,review_num
phu-kien-trang-diem,129000 ,Bộ cọ trang điểm 32 món cho bạn tha hồ trang điểm 108,https://www.lazada.vn/products/bo-co-trang-diem-32-mon-cho-ban-tha-ho-trang-diem-108-i246289188-s316316369.html?search=1,29
moi,169000 ,Set 5 Son Kem Hold Live Morandi Orchid Love Matte Lip Chính Hãng Holdlive nội địa Trung HL270,https://www.lazada.vn/products/set-5-son-kem-hold-live-morandi-orchid-love-matte-lip-chinh-hang-holdlive-noi-dia-trung-hl270-i272474945-s429200686.html?search=1,8
moi,219000 ,"Son sáp handmade thiên nhiên (nguyên liệu từ nhập từ Mỹ, Nguyên liệu 100% tự nhiên, không chứa chì, thủy ngân và hóa chất độc hại ,Tuyệt đối không dùng nguyên liệu kém chất lượng từ Trung Quốc, Màu son lên môi chuẩn và màu thời thượng dễ lựa chọn)",https://www.lazada.vn/products/son-sap-handmade-thien-nhien-nguyen-lieu-tu-nhap-tu-my-nguyen-lieu-100-tu-nhien-khong-chua-chi-thuy-ngan-va-hoa-chat-doc-hai-tuyet-doi-khong-dung-nguyen-lieu-kem-chat-luong-tu-trung-quoc-mau-son-len-moi-chuan-va-mau-thoi-thuong-de-lua-chon-i256118866-s350699738.html?search=1,8
moi,199000 ,Son kem lì Romand Lip Driver On Your Lips - Tặng kèm móc khóa đính hạt siêu dễ thương,https://www.lazada.vn/products/son-kem-li-romand-lip-driver-on-your-lips-tang-kem-moc-khoa-dinh-hat-sieu-de-thuong-i279396006-s435888618.html?search=1,8
moi,45000 ,Son novo 9 ô 9 màu thời thượng,https://www.lazada.vn/products/son-novo-9-o-9-mau-thoi-thuong-i249176558-s327694181.html?search=1,8
moi,109000 ,SET Son dưỡng + son đỏ + nước hoa,https://www.lazada.vn/products/set-son-duong-son-do-nuoc-hoa-i264550225-s379154232.html?search=1,8
trang-diem-mat,19000 ,"Bút dạ kẻ mắt không lem, không trôi Lameila",https://www.lazada.vn/products/but-da-ke-mat-khong-lem-khong-troi-lameila-i257195271-s354612588.html?search=1,153
trang-diem-mat,137000 ,Bảng Màu Mắt và Phấn Tạo Khối Sivanna Có Nhũ và Không Nhũ Lì Tông Cam Đất - Phấn Mắt Có Nhũ SIVANNA 18 ô tông Cam Đất - Sivanna HD Ultimate Shadow HF 375 - Bảng Màu Mắt Sivanna Có Nhũ Tông Cam Gạch - Bảng Màu Mắt và Phấn Khối Sivanna Có Nhũ Tông Cam Tây,https://www.lazada.vn/products/bang-mau-mat-va-phan-tao-khoi-sivanna-co-nhu-va-khong-nhu-li-tong-cam-dat-phan-mat-co-nhu-sivanna-18-o-tong-cam-dat-sivanna-hd-ultimate-shadow-hf-375-bang-mau-mat-sivanna-co-nhu-tong-cam-gach-bang-mau-mat-va-phan-khoi-sivanna-co-nhu-tong-cam-tay-i222461357-s280090844.html?search=1,13
trang-diem-mat,16000 ,Bút kẻ mắt nước Lameila không thấm nước - hàng nội địa Trung,https://www.lazada.vn/products/but-ke-mat-nuoc-lameila-khong-tham-nuoc-hang-noi-dia-trung-i253890942-s342406883.html?search=1,136
trang-diem-mat,693000 ,"Combo Nước Hoa Hồng, Serum và Kem Dưỡng Trị Mụn Some By Mi  AHA-BHA-PHA 30 Ngày - Combo Toner, Serum và Kem Dưỡng Trị Mụn Some By Mi  AHA-BHA-PHA 30 Ngày - Combo Nước Hoa Hồng, Tinh Chất và Kem Dưỡng Trị Mụn Some By Mi  AHA-BHA-PHA 30 Ngày",https://www.lazada.vn/products/combo-nuoc-hoa-hong-serum-va-kem-duong-tri-mun-some-by-mi-aha-bha-pha-30-ngay-combo-toner-serum-va-kem-duong-tri-mun-some-by-mi-aha-bha-pha-30-ngay-combo-nuoc-hoa-hong-tinh-chat-va-kem-duong-tri-mun-some-by-mi-aha-bha-pha-30-ngay-i248747451-s326790072.html?search=1,16
