,Unnamed: 0,名字,投票人数,类型,产地,上映时间,时长,年代,评分,首映地点
15181,15181,快要坏掉的八音盒 剧场版 劇場版 こわれかけのオル,459.0,剧情,日本,2010-09-11 00:00:00,30,2010,7.6,美国
15182,15182,宽恕,40.0,剧情,德国,2012-02-16 00:00:00,132,2012,6.7,德国
15183,15183,宽恕与原谅 ,405.0,剧情,法国,2007-09-26 00:00:00,105,2007,6.9,美国
15184,15184,紧急救助,114.0,剧情,中国,1996-06-18 00:00:00,60,1996,6.6,美国
15185,15185,PIECE～记忆的碎片～ P,113.0,动作,日本,2012-09-01 00:00:00,60,2012,6.3,日本
15186,15186,狂爱仪式 C,114.0,剧情,法国,1987-07-20 00:00:00,100,1987,5.9,美国
15187,15187,狂爱走一回,338.0,剧情,美国,1996-09-20 00:00:00,125,1996,7.0,美国
15188,15188,狂暴,111.0,纪录片,意大利,1963-04-13 00:00:00,104,1963,7.5,美国
15189,15189,狂暴,1432.0,剧情,加拿大,2009-08-14 00:00:00,85,2009,6.4,美国
15190,15190,北北，北北,113.0,剧情,中国,2012-07-04 00:00:00,60,2012,5.6,美国
15191,15191,第四张画 第四張,10576.0,剧情,中国,2010-10-22 00:00:00,105,2010,7.6,台湾
15192,15192,别克十二星座微电影,113.0,剧情,中国,2012-07-04 00:00:00,60,2012,5.9,美国
15193,15193,狂奔,42.0,喜剧,法国,2012-10-17 00:00:00,110,2012,6.9,美国
15194,15194,狂奔蚂蚁,1320.0,剧情,中国,2012-05-25 00:00:00,95,2012,6.1,中国
15195,15195,狂飙梦想,37.0,纪录片,美国,2009-05-21 00:00:00,93,2009,7.7,美国
15196,15196,独臂拳王 獨臂拳,113.0,剧情,中国,1972-08-02 00:00:00,60,1972,6.0,香港
15197,15197,狂欢节,83.0,喜剧,美国,2010-02-19 00:00:00,88,2010,6.1,美国
15198,15198,狂欢宴,304.0,喜剧,美国,1968-04-04 00:00:00,99,1968,7.0,美国
15199,15199,狂澜春醒,80.0,剧情,美国,1960-05-26 00:00:00,110,1960,6.8,美国
15200,15200,狂浪少年摇滚梦,157.0,剧情,波兰,2009-01-15 00:00:00,95,2009,7.4,波兰
15201,15201,夺命诱惑,113.0,惊悚,韩国,2001-10-23 00:00:00,60,2001,4.0,美国
15202,15202,狂恋吉娜,75.0,剧情,意大利,1994-02-12 00:00:00,90,1994,7.8,美国
15203,15203,狂龙逞英豪,91.0,武侠,中国,1995-05-01 00:00:00,93,1995,6.4,美国
15204,15204,狂乱,71.0,剧情,法国,1968-10-30 00:00:00,103,1968,7.3,美国
15205,15205,狂蟒惊魂,544.0,恐怖,中国,2008-04-08 00:00:00,93,2008,2.7,美国
15206,15206,东京少女 東京少,13139.0,爱情,日本,2008-02-23 00:00:00,98,2008,7.6,日本
15207,15207,东京塔 東京タワ,10271.0,剧情,日本,2005-01-15 00:00:00,125,2005,7.6,日本
15208,15208,狂蟒之灾,3033.0,动作,美国,2008-07-26 00:00:00,91,2008,4.9,美国
15209,15209,狂迷利物浦,215.0,喜剧,其他,2010-10-22 00:00:00,90,2010,8.2,美国
15210,15210,狂怒,291.0,剧情,美国,1936-05-29 00:00:00,92,1936,8.3,美国
15211,15211,疯狂的心,13489.0,剧情,美国,2009-12-11 00:00:00,112,2009,7.6,美国
15212,15212,狂犬,247.0,惊悚,其他,2010-12-02 00:00:00,93,2010,5.5,美国
15213,15213,狂犬病,478.0,惊悚,加拿大,1977-04-08 00:00:00,91,1977,6.3,美国
15214,15214,狂犬惊魂,481.0,惊悚,美国,1983-12-29 00:00:00,93,1983,6.2,美国
15215,15215,狂热舞厅,86.0,纪录片,美国,2005-05-21 00:00:00,105,2005,8.4,美国
15216,15216,狂人拘束衣,82.0,剧情,美国,1964-01-19 00:00:00,93,1964,7.2,美国
15217,15217,狂人蓝调,56.0,纪录片,美国,1997-02-11 00:00:00,105,1997,7.9,美国
15218,15218,狂人皮埃罗,5596.0,剧情,法国,1965-11-05 00:00:00,110,1965,8.2,美国
15219,15219,故园春梦,113.0,剧情,中国,1964-08-12 00:00:00,60,1964,7.1,美国
15220,15220,家在台北,113.0,剧情,中国,1970-02-05 00:00:00,60,1970,6.3,美国
15221,15221,狂舞派,6056.0,剧情,中国,2013-08-08 00:00:00,111,2013,7.4,香港
15222,15222,狂喜,133.0,剧情,西班牙,1980-06-09 00:00:00,105,1980,7.7,美国
15223,15223,狂喜,352.0,喜剧,美国,2013-06-07 00:00:00,85,2013,4.5,美国
15224,15224,克罗凯特,113.0,动画,法国,2002-06-24 00:00:00,60,2002,4.9,美国
15225,15225,狂想曲,39.0,剧情,美国,1954-04-16 00:00:00,115,1954,7.5,美国
15226,15226,狂凶记,2132.0,惊悚,英国,1972-05-25 00:00:00,116,1972,7.7,美国
15227,15227,狂熊之灾,201.0,惊悚,美国,2010年,90,2010,3.2,美国
15228,15228,狂野大自然,3893.0,喜剧,加拿大,2006-04-14 00:00:00,82,2006,6.7,美国
15229,15229,狂野的爱,379.0,剧情,法国,1985-02-27 00:00:00,101,1985,5.4,美国
15230,15230,狂野的青春,33.0,剧情,美国,2002-05-03 00:00:00,96,2002,5.9,美国
15231,15231,狂野非洲,3266.0,纪录片,比利时,2013-11-07 00:00:00,85,2013,7.3,中国
15232,15232,狂野老狼,52.0,喜剧,美国,1945-11-03 00:00:00,8,1945,8.3,美国
15233,15233,怪兽在巴黎 ,11790.0,喜剧,法国,2011-10-12 00:00:00,90,2011,7.6,法国
15234,15234,课间休息,113.0,短片,其他,1972-05-25 00:00:00,60,1972,6.9,美国
15235,15235,狂野三千响 狂野三千,73.0,犯罪,中国,1996-01-25 00:00:00,84,1996,6.5,美国
15236,15236,狂野三人行,209.0,剧情,法国,2004-06-25 00:00:00,93,2004,6.9,美国
15237,15237,狂野生死恋,65.0,剧情,中国,1995-04-27 00:00:00,103,1995,6.5,美国
15238,15238,狂野天真,614.0,剧情,法国,2001-12-19 00:00:00,123,2001,7.6,美国
15239,15239,狂野之海,50.0,纪录片,美国,2008-03-14 00:00:00,45,2008,7.8,美国
15240,15240,狂野之河,1450.0,动作,美国,1994-09-30 00:00:00,108,1994,7.4,美国
15241,15241,狂野追逐,193.0,动作,法国,2008-06-30 00:00:00,1,2008,6.5,美国
15242,15242,狂躁的梦,162.0,纪录片,英国,2008-06-30 00:00:00,94,2008,8.4,美国
